Id,SalePrice
1461,121458.7764247881
1462,145749.48933941885
1463,173785.77599609055
1464,181381.39929222394
1465,197509.0904175445
1466,179452.00703547793
1467,168823.40690089852
1468,175366.3434734004
1469,186574.35122644232
1470,114829.00060892558
1471,187412.4864241358
1472,92514.67567387785
1473,98619.03315551837
1474,159518.71087240762
1475,131150.1699126824
1476,410643.9369659069
1477,254260.04473107719
1478,321213.4115717286
1479,288752.24985655287
1480,459822.7778739213
1481,320334.5107389406
1482,208403.62436301148
1483,177363.42269979062
1484,168718.63095189695
1485,169134.61424922734
1486,200605.45454026584
1487,346624.9313002516
1488,252693.10886117344
1489,201523.25530800244
1490,189604.6067523518
1491,187200.64125140026
1492,104807.02609640166
1493,179283.75661780869
1494,291766.2527113772
1495,286428.66222303006
1496,209550.482912255
1497,202788.10498870397
1498,155663.42617622434
1499,155264.7794323332
1500,158868.58618801966
1501,176104.849463577
1502,149160.47029985412
1503,267876.0302662989
1504,229027.5340526033
1505,212385.31422596704
1506,191585.58851106637
1507,219588.70176017683
1508,163467.05909996128
1509,166470.54848551977
1510,144684.3183598057
1511,149054.18029308168
1512,164318.69902289624
1513,163778.88174784754
1514,140160.98390411018
1515,190159.32570672422
1516,158190.87568039796
1517,144072.42266145453
1518,145027.92265500734
1519,214559.64800073666
1520,138334.3287116134
1521,142840.1240013648
1522,169575.89889284605
1523,115201.80263943966
1524,108363.72433318222
1525,121881.200065085
1526,120451.58367249795
1527,105595.12430173806
1528,124827.54692661851
1529,144026.4010157175
1530,157710.08931592864
1531,119955.0341591958
1532,96967.5519433901
1533,142195.60214244857
1534,121867.97843362337
1535,140145.96938329973
1536,114587.02655132036
1537,89666.89665564666
1538,157862.46674454957
1539,230127.5246707973
1540,129000.75287953857
1541,164645.0479477215
1542,150104.16171001943
1543,220521.60628697765
1544,78875.13256405412
1545,95875.86487242654
1546,124373.75627238642
1547,113684.71694555874
1548,122151.54028161059
1549,112652.91118231187
1550,145569.88766635273
1551,107635.32445447645
1552,130502.78123447802
1553,129102.68215947314
1554,108656.67055287737
1555,137039.2599433367
1556,104147.52287751914
1557,106905.14129067108
1558,95982.58633331042
1559,121075.27262850002
1560,134969.90174883924
1561,145270.82036625248
1562,125000.57343508568
1563,116388.46507819279
1564,159491.48099102668
1565,153277.57055883168
1566,208461.28111949013
1567,81547.58084392753
1568,196653.89019354514
1569,137677.7412829939
1570,131366.7457832244
1571,118130.44555158901
1572,139192.89551319892
1573,220913.10738731176
1574,148467.63891702224
1575,194221.98615426235
